id,season,team1,team2,toss_winner,toss_decision,winner,toss_win_match_win,target
402,2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,0,1
403,2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,1,1
404,2013,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,1,1
405,2013,Punjab Kings,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,0,0
406,2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,0,0
407,2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,0
408,2013,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,0,0
409,2013,Pune Warriors,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
410,2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,0,0
411,2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,0,1
412,2013,Punjab Kings,Delhi Capitals,Delhi Daredevils,field,Punjab Kings,0,1
413,2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,0
414,2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,0,0
415,2013,Punjab Kings,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,0,0
416,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,0,0
417,2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,1,1
418,2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,0,1
419,2013,Delhi Capitals,Pune Warriors,Pune Warriors,field,Delhi Capitals,0,1
420,2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,1,0
421,2013,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Mumbai Indians,1,1
422,2013,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,1,1
423,2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,0,0
424,2013,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,0,0
425,2013,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,1,1
426,2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,1
427,2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,0,0
428,2013,Delhi Capitals,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,0,0
429,2013,Royal Challengers Bangalore,Punjab Kings,Kings XI Punjab,field,Punjab Kings,0,0
430,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,1,1
